ProductDescription	ClientID	TestCode	TestName	ParameterCode	ParameterName	StringValue	NumeratorUnit	DenominatorUnit	ResultSeverity	SampleSeverity	ResultSeverityColor	SampleSeverityColor	NumericValue	ReceivedDate
R445 MALTON 4g Pork Meatballs	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
R445 MALTON 4g Pork Meatballs	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
R418 BAKKAVOR 4g Pork & Fennel Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
R418 CRANSWICK 4g Pork & Fennel Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
R448 WESTLERS 28g Pork Sausage (26mm)	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
"Pork, Fennel and Chilli Ravioli"	1	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
Korean BBQ Pork with Sticky Rice	2084	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
Korean Pulled Pork and Noodles	2084	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Shoulder Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Shoulder Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Rejected	1	3	00:00.0	00:00.0
R492 FORZA 4.5g Pork & Beef Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
125g Core Roast Pork	337	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
250g Eastmans Pork Luncheon Meat	337	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
TTD PORK LOIN WITH SALT & PEPPER	42	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Rejected	1	3	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Finest Leg Crackling Joint 	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK CHOPS	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Woodside Farm Pork Chops 	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Belly Slices	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Chops	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
Pork Loin Steaks	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Medallions 500g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Finest Thick Cut Chops	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Rolled Belly Joint 	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK One Stop Loin Steaks 270G	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Finest Leg Crackling Joint 	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK CHOPS	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Woodside Farm Pork Chops 	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Belly Slices	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Chops	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
Pork Loin Steaks	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Medallions 500g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Finest Thick Cut Chops	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Rolled Belly Joint 	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK One Stop Loin Steaks 270G	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Mediterranean Loin Steaks 600g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
RTC Injected Cajun Pork Loin Steaks With Roasted Peppers	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
RTC Pork Loin Joint with Black Pepper Sprinkle 637g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Hog Roast with Apple Sauce 900g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Maple BBQ Loin Steaks 600g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Leg Crackling Joint with SS	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Finest ODB Seasoned Belly Joint 700g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Rejected	1	3	00:00.0	00:00.0
PORK Paprika Loin Steaks with Chorizo Butter 320g	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Paprika Loin Steaks with Chorizo Butter 320g	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Paprika Loin Steaks with Chorizo Butter 320g	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Paprika Loin Steaks with Chorizo Butter 320g	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Paprika Loin Steaks with Chorizo Butter 320g	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
No Porkies 2pk Pulled Burger	884	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Fail	1	3	00:00.0	00:00.0
PORK Finest ODB 2 Pork Cutlets 550g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Steaks	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Finest ODB 2 Pork Cutlets 550g	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
